"","model","mse","sensitivity","specificity","auc","kappa","Species","Common.Name"
"1","RF",0.0992371416735372,0.836892818118605,0.886115345528455,0.939532536098587,0.721058224622171,"Agelaius phoeniceus","Red-winged Blackbird"
"2","Calibrated RF",0.0947465115401669,0.839674182974074,0.884082825203252,0.939470754910595,0.721032356694115,"Agelaius phoeniceus","Red-winged Blackbird"
"3","RF",0.103587377182271,0.821828656780113,0.877005670165279,0.934170702465507,0.692906517293777,"Quiscalus quiscula","Common Grackle"
"4","Calibrated RF",0.0987998737690787,0.82246879334258,0.876523102907468,0.93410770756522,0.692839775886319,"Quiscalus quiscula","Common Grackle"
"5","RF",0.0967504451891093,0.760557152332523,0.920466002016355,0.934936600135013,0.66259224083186,"Molothrus ater","Brown-headed Cowbird"
"6","Calibrated RF",0.075174630389496,0.757461861596286,0.921754228744259,0.934920885673491,0.662803517230468,"Molothrus ater","Brown-headed Cowbird"
"7","RF",0.130522035110787,0.669674382110632,0.897891852597439,0.89017223682574,0.582835309026556,"Buteo jamaicensis","Red-tailed Hawk"
"8","Calibrated RF",0.117141034026673,0.672682097554597,0.896270200749315,0.890160873131291,0.583093356647185,"Buteo jamaicensis","Red-tailed Hawk"
"9","RF",0.0984274967002864,0.709868421052632,0.928110599078341,0.931482255465854,0.620827402069611,"Pandion haliaetus","Osprey"
"10","Calibrated RF",0.0729726991264772,0.704276315789474,0.929756418696511,0.931435836855965,0.620322597048192,"Pandion haliaetus","Osprey"
"11","RF",0.121843304234435,0.766293532338308,0.86521459101821,0.9071337279875,0.622836777274272,"Melanerpes carolinus","Red-bellied Woodpecker"
"12","Calibrated RF",0.112728337237867,0.780223880597015,0.857017389776919,0.907102766366073,0.623391687816313,"Melanerpes carolinus","Red-bellied Woodpecker"
"13","RF",0.118728112409022,0.760150284813962,0.877732977454711,0.910864200588142,0.634328787512874,"Colaptes auratus","Northern Flicker"
"14","Calibrated RF",0.109246058844418,0.752757241546479,0.883014367652905,0.910864200588142,0.635362383161356,"Colaptes auratus","Northern Flicker"
"15","RF",0.122285762013814,0.726728268309377,0.885333493426187,0.901904644735014,0.601603395864882,"Dryobates villosus","Hairy Woodpecker"
"16","Calibrated RF",0.103256164866332,0.696269678302533,0.901903103800204,0.901904644735014,0.60289416702837,"Dryobates villosus","Hairy Woodpecker"
"17","RF",0.12183907132822,0.783374536464771,0.865333933277624,0.91295572968913,0.651706342814076,"Dryobates pubescens","Downy Woodpecker"
"18","Calibrated RF",0.119052633443886,0.781752163164401,0.866940926913929,0.912927006415977,0.65188634724262,"Dryobates pubescens","Downy Woodpecker"
"19","RF",0.123333010972775,0.814666385432047,0.83287419651056,0.9108996668008,0.647675024986065,"Zenaida macroura","Mourning Dove"
"20","Calibrated RF",0.121309173613602,0.819306756661745,0.827954873409419,0.910890957769253,0.647180720489938,"Zenaida macroura","Mourning Dove"
"21","RF",0.131714135626095,0.760141460370293,0.845538937596699,0.897239913738914,0.604604387088006,"Passer domesticus","House Sparrow"
"22","Calibrated RF",0.125612786775486,0.762429789889744,0.844185146982981,0.897234418620644,0.605023729040947,"Passer domesticus","House Sparrow"
"23","RF",0.13063846576086,0.752142314784684,0.854456450361172,0.894848671644032,0.604343844329825,"Sturnus vulgaris","European Starling"
"24","Calibrated RF",0.123054462103343,0.752684672958021,0.854038564861799,0.89483856657652,0.604291670408229,"Sturnus vulgaris","European Starling"
"25","RF",0.112501863566763,0.665594059405941,0.922020929447508,0.908202888689342,0.585654744476563,"Cathartes aura","Turkey Vulture"
"26","Calibrated RF",0.0842111727308956,0.659405940594059,0.923765050073141,0.908196301584136,0.584344505994628,"Cathartes aura","Turkey Vulture"
"27","RF",0.115830788419482,0.564026206075045,0.946432081777079,0.89932558824869,0.535350937831717,"Dryocopus pileatus","Pileated Woodpecker"
"28","Calibrated RF",0.0737825402008279,0.517569982132222,0.961175545508158,0.899335745052173,0.533831815647752,"Dryocopus pileatus","Pileated Woodpecker"
"29","RF",0.130390466144944,0.803306092124814,0.815017404276479,0.900453758749154,0.616711039803462,"Corvus brachyrhynchos","American Crow"
"30","Calibrated RF",0.128545862196531,0.806835066864785,0.810613056759253,0.900442897679124,0.616171657599835,"Corvus brachyrhynchos","American Crow"
"31","RF",0.101821073839924,0.25,1,0.712890625,0.392638036809817,"Myiopsitta monachus","Monk Parakeet"
"32","Calibrated RF",0.0295105704816651,0.25,1,0.712890625,0.392638036809817,"Myiopsitta monachus","Monk Parakeet"
